"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"PETER SANDFORT LLC","BJELIN","16,525.87","11,945.01","4,580.86","27.72%","3.99","4,137.98","8"
"WOOD PLUS HARDWOOD FLRG","LAUZON WOOD","12,207.16","10,196.80","2,010.36","16.47%","5.89","2,072.52","5"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","11,686.93","9,430.91","2,256.02","19.30%","3.01","3,881.19","6"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","11,557.44","9,934.92","1,622.52","14.04%","2.96","3,899.47","12"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","10,841.12","8,063.96","2,777.16","25.62%","4.13","2,627.45","23"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","10,009.92","8,034.61","1,975.31","19.73%","2.75","3,640.64","11"
"B & B MACHINE TOOL INC","MANN. ADURA LUXURY TILE","9,881.80","7,508.91","2,372.89","24.01%","3.53","2,802.45","12"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","6,393.71","5,126.39","1,267.32","19.82%","2.98","2,144.59","14"
"CENTRAL VA FLOORING","BJELIN","5,896.13","4,563.00","1,333.13","22.61%","4.64","1,270.15","3"
"PETER SANDFORT LLC","MANN. ADURA LUXURY TILE","5,706.44","4,654.05","1,052.39","18.44%","2.94","1,940.64","11"
"B & H FLOORS LLC","MANN. ADURA LUXURY TILE","4,622.15","3,651.68","970.47","21.00%","3.38","1,366.92","6"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","4,110.00","2,690.40","1,419.60","34.54%","2.74","1,500.00","3"
"THE FLOOR SHOW INC","SOMERSET WOOD","3,880.09","3,399.00","481.09","12.40%","5.09","762.00","4"
"THE WHITT GROUP, INC","MANNINGTON ON MAIN","3,772.05","3,014.61","757.44","20.08%","2.49","1,514.88","5"
"FLOORED LLC","MANN. ADURA LUXURY TILE","3,181.15","2,566.98","614.17","19.31%","2.55","1,247.34","9"
"CENTRAL VA FLOORING","SOMERSET WOOD","3,056.25","2,406.25","650.00","21.27%","4.89","625.00","1"
"THE FLOOR SHOW INC","LAUZON WOOD","2,879.33","2,547.66","331.67","11.52%","5.99","480.69","1"
"ELP PROP","SOMERSET WOOD","2,853.50","2,275.00","578.50","20.27%","4.39","650.00","2"
"NEWCOMB CARPET INC","MANN. ADURA LUXURY TILE","2,412.70","1,574.81","837.89","34.73%","9.48","254.51","3"
"WHITT CPT & TILE","SOMERSET WOOD","2,195.00","1,750.00","445.00","20.27%","4.39","500.00","1"
"FARMVILLE FLOORING LLC","MANN. ADURA LUXURY TILE","2,148.81","1,729.80","419.01","19.50%","3.07","699.87","6"
"S.J. NEATHAWK LBR CO INC","MANN. ADURA LUXURY TILE","1,851.94","1,451.15","400.79","21.64%","3.03","612.12","4"
"CARPET VILLAGE","PAD CARPENTER COMPANY","1,791.00","1,230.90","560.10","31.27%","1.99","900.00","4"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","1,625.47","1,252.17","373.30","22.97%","2.09","777.74","2"
"ELP PROP","MANN. ADURA LUXURY TILE","1,620.72","1,329.09","291.63","17.99%","2.89","560.80","2"
"CARPETLAND USA OF","MANN. ADURA LUXURY TILE","1,565.87","1,228.74","337.13","21.53%","2.70","580.72","4"
"THE WHITT GROUP, INC","BURKE-MERCER","1,523.00","1,137.00","386.00","25.34%","0.66","2,300.00","2"
"THE CEILING & FLOOR SHOP","MANN. ADURA LUXURY TILE","1,512.93","1,157.65","355.28","23.48%","3.79","399.19","1"
