"Customer - Parent  Account","Customer - Account  Number","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CENTRAL VA FLOORING","CENT560LYN~00000","258,261.95","200,246.85","58,015.10","22.46%","2.79","92,630.31","332"
"WOOD PLUS HARDWOOD FLRG","WOOD111GAL~00000","233,439.81","189,024.39","44,415.42","19.03%","3.22","72,523.62","189"
"PETER SANDFORT LLC","SAND122CHA~00000","227,909.89","174,163.06","53,746.83","23.58%","3.69","61,749.06","205"
"CARPETLAND USA-RKE SOUTH","CARP411ROA~00000","183,264.44","141,883.09","41,381.35","22.58%","3.23","56,688.74","359"
"SPENCER HOME CENTER INC","SPEN130LEX~00000","155,103.44","120,679.67","34,423.77","22.19%","3.15","49,260.17","150"
"CARPETLAND USA OF ROANOKE","CARP785ROA~00000","88,529.00","69,128.01","19,400.99","21.91%","3.03","29,181.86","208"
"FLOORED LLC","FLOO385CHR~00000","85,838.42","68,084.08","17,754.34","20.68%","2.95","29,090.02","159"
"FAYETTE AWNING & GLASS","FAYE155OAK~00000","81,587.02","66,478.45","15,108.57","18.52%","2.11","38,655.84","83"
"KITUWAH MANUFACTURING LLC","CARD525WYL~00000","76,385.11","61,393.79","14,991.32","19.63%","2.10","36,381.14","66"
"FARMVILLE FLOORING LLC","FARM167FAR~00000","67,799.60","53,993.68","13,805.92","20.36%","2.83","23,972.04","83"
"FLOOR FASHIONS","FLOO180CHA~00000","58,216.39","44,226.85","13,989.54","24.03%","3.39","17,153.62","79"
"THE FLOOR SHOW INC","FLOO880LYN~00000","56,475.20","45,788.55","10,686.65","18.92%","3.28","17,212.14","111"
"THE WHITT GROUP, INC","WHIT125ROA~00000","53,738.28","42,044.04","11,694.24","21.76%","2.41","22,320.39","101"
"J W SQUIRE CO","SQUI425DAN~00000","51,711.76","41,495.01","10,216.75","19.76%","4.02","12,853.16","56"
"S.J. NEATHAWK LBR CO INC","NEAT427LEW~00000","51,592.94","41,469.32","10,123.62","19.62%","3.68","14,020.78","58"
"B & H FLOORS LLC","BHFL600CHA~00000","48,192.49","37,282.97","10,909.52","22.64%","3.13","15,397.58","78"
"MILLS FLOOR COVERING LLC","MILL750SOP~00000","42,256.18","33,043.76","9,212.42","21.80%","3.07","13,756.43","42"
"BLUE RIDGE FLOORS INC","HALLRT2EVI~00000","38,808.30","29,179.16","9,629.14","24.81%","2.52","15,402.71","88"
"CARPET VILLAGE","CARP363ROA~00000","35,211.40","26,746.58","8,464.82","24.04%","2.00","17,581.84","54"
"ELP PROP","ELPC242CHR~00000","31,710.60","24,523.23","7,187.37","22.67%","3.18","9,971.96","53"
"WHITT CPT & TILE","WHIT317SAL~00000","26,359.01","19,917.61","6,441.40","24.44%","3.69","7,140.44","42"
"CARPETLAND USA OF","CARP237MAR~00000","26,254.50","20,531.26","5,723.24","21.80%","2.86","9,174.63","74"
"DESIGNER SOLUTIONS INC","DESI804HAR~00000","25,667.81","20,439.13","5,228.68","20.37%","4.37","5,873.50","14"
"B & B MACHINE TOOL INC","BBMA340ROA~00000","23,762.40","18,298.12","5,464.28","23.00%","2.87","8,292.14","31"
"FASHION FLRS OF ROANOKE","FASH439ROA~00000","22,615.36","16,686.62","5,928.74","26.22%","2.52","8,985.08","61"
"CAVALIER CARPETS INC","CAVA385EAR~00000","18,044.23","14,125.16","3,919.07","21.72%","3.76","4,800.28","17"
"BY DESIGN INTERIORS LLC","BYDE129HAR~00000","15,724.79","12,231.17","3,493.62","22.22%","3.21","4,902.30","34"
"THE HOUSE OF CARPETS INC","HOUS231SOU~00000","13,220.81","10,692.35","2,528.46","19.12%","2.86","4,627.77","21"
"FALLETTA ENTERPRISES","FALL137ROA~00000","10,899.78","7,146.00","3,753.78","34.44%","2.90","3,764.44","43"
"CARPET PLUS","CARP122CHA~00000","9,864.03","7,638.38","2,225.65","22.56%","3.55","2,775.76","13"
"MANNINGTON MILLS INC.","SHER400VIN~00000","8,554.05","6,717.60","1,836.45","21.47%","4.46","1,919.78","17"
"NEWCOMB CARPET INC","NEWC149DAN~00000","8,062.17","5,779.25","2,282.92","28.32%","3.10","2,604.51","15"
"THE CPT SHOP OF ROANOKE","CARP150ROA~00000","7,951.97","5,759.57","2,192.40","27.57%","4.33","1,836.06","9"
"ROANOKE RIVER WHSALE INC","ROAN160SAL~00000","6,629.82","5,185.46","1,444.36","21.79%","3.07","2,158.61","3"
"CARPETS BY WORLEY","CARPRT4GRE~00000","4,733.20","3,830.81","902.39","19.07%","2.86","1,657.16","5"
"DESIGNER SOLUTIONS INC","DESI804HAR~00001","3,901.42","2,356.36","1,545.06","39.60%","25.33","154.00","3"
"1 UNITED CONTRACTING INC","1UNI690SHA~00000","3,608.59","2,774.64","833.95","23.11%","2.98","1,212.86","8"
"THE CEILING & FLOOR SHOP","CEIL175CHA~00000","1,925.13","1,496.05","429.08","22.29%","3.32","579.19","3"
"S.J. NEATHAWK LBR CO INC","NEAT427LEW~00001","1,235.00","994.00","241.00","19.51%","24.70","50.00","1"
"FOUNDERS FLOORING LLC","FOUN227CHA~00000","662.89","507.00","155.89","23.52%","3.09","214.80","2"
