"Customer - Parent  Account","Product Group - C O L0","Value","Cost","Profit","GP","Average Price","Quantity","Count"
"CENTRAL VA FLOORING","RESPONSIVE INDUSTRIES","15,181.25","11,937.07","3,244.18","21.37%","2.23","6,805.98","15"
"CARPETLAND USA-RKE SOUTH","MANN. ADURA LUXURY TILE","9,946.33","7,804.21","2,142.12","21.54%","3.00","3,311.83","23"
"FAYETTE AWNING & GLASS","MANN. ADURA LUXURY TILE","9,894.35","7,481.60","2,412.75","24.39%","3.10","3,189.45","34"
"FARMVILLE FLOORING LLC","NORTH STAR FLOORING","9,598.27","7,606.19","1,992.08","20.75%","1.59","6,036.65","5"
"THE WHITT GROUP, INC","MANN. ADURA LUXURY TILE","9,481.18","7,658.55","1,822.63","19.22%","2.35","4,039.97","14"
"CENTRAL VA FLOORING","MANN. ADURA LUXURY TILE","7,537.30","6,144.13","1,393.17","18.48%","2.75","2,745.26","16"
"PETER SANDFORT LLC","BJELIN","6,823.38","4,911.65","1,911.73","28.02%","4.32","1,581.31","7"
"CENTRAL VA FLOORING","PAD CARPENTER COMPANY","5,808.00","4,581.00","1,227.00","21.13%","2.42","2,400.00","5"
"CARPETLAND USA-RKE SOUTH","SOMERSET WOOD","5,728.00","4,673.75","1,054.25","18.41%","4.66","1,228.00","7"
"MANNINGTON MILLS INC.","MANN. ADURA LUXURY TILE","5,620.84","4,640.93","979.91","17.43%","4.44","1,264.94","4"
"WOOD PLUS HARDWOOD FLRG","RESPONSIVE INDUSTRIES","5,499.66","4,885.40","614.26","11.17%","1.73","3,180.62","6"
"CARPETLAND USA OF ROANOKE","MANN. ADURA LUXURY TILE","5,213.23","3,873.29","1,339.94","25.70%","3.06","1,702.94","20"
"FLOORED LLC","MANN. ADURA LUXURY TILE","5,083.88","3,994.13","1,089.75","21.44%","2.67","1,906.80","8"
"S.J. NEATHAWK LBR CO INC","SOMERSET WOOD","4,492.86","3,678.50","814.36","18.13%","4.27","1,052.00","5"
"WOOD PLUS HARDWOOD FLRG","MANN. ADURA LUXURY TILE","4,279.82","3,375.00","904.82","21.14%","3.12","1,372.79","11"
"CARPETLAND USA-RKE SOUTH","LAUZON WOOD","3,969.74","3,318.85","650.89","16.40%","5.17","767.42","4"
"PETER SANDFORT LLC","DIVERSIFIED INDUSTRIES","3,582.73","2,755.90","826.83","23.08%","28.21","127.00","11"
"ELP PROP","MANN. ADURA LUXURY TILE","2,733.28","2,235.43","497.85","18.21%","2.83","965.70","3"
